,0
0,142.7059335064668
1,22.96860501916886
2,22.642076539143723
3,21.768680844446564
4,21.207628646580762
5,20.89090708997317
6,19.94291214400703
7,19.16796325722878
8,18.65310736757305
9,18.32545080229606
10,18.156533170527904
11,17.464315579022866
12,16.91215379597974
13,16.57170963683861
14,16.26767671199085
15,16.14904249779982
16,15.914640046308664
17,15.497640223295297
18,15.189682154367821
19,14.85578508390772
20,14.538703375528447
21,13.861278944117926
22,13.813494890157177
23,13.351321497229588
24,13.185696656119054
25,12.777976086293446
26,12.38185703039933
27,12.374299960656922
28,11.872704404006125
29,11.588939343485576
30,11.384756921051773
31,11.297526990393122
32,10.748087735844136
33,10.158581660738085
34,10.090287525649439
35,9.76775414349487
36,9.516858013164773
37,8.97781724489646
38,8.784655920581415
39,8.512353519029118
40,8.130828655234833
41,7.856891975270597
42,7.378734854816221
43,7.29166117756039
44,6.744291128730831
45,6.510100004601021
46,6.251245452423155
47,5.075760587978632
48,4.875831578764672
49,4.57001139510367
